locID,CNN,xLoc,yLoc,LocationDescription,curbReturnLoc,positionOnReturn,Latitude,Longitude,LastUpdate,InvenID,conditionScore,detectableSurf,vitalFacilities,heavyTraffic,lipTooHigh,probStreetMeetCR,possBasementObstacle,signalPoleInWing,catchBasinFrontOfCR,insideCrosswalk,surfCond,slopeWing,flushToCorner,colorContrast,paintedRed,topClearance,sideClearance,CRTooNarrow,levelLandTop,levelLandBottom,slopeRangeID,crPossible,crExist,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
11458101-NE-MB,11458101,5998555.992598,2090506.295506,SAN JOSE AVE: GENEVA AVE to NIAGARA AVE (2301 - 2399) -- SOUTH --,NE,MB,37.720098304617736,-122.44707546071216,11/10/2020 06:44:16 AM,52172.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.720098304617736, -122.44707546071217)",9.0,7.0,6.0,28861.0,25.0
22831000-SW-Right,22831000,5994192.22989,2097361.59135,SAN PABLO AVE: SANTA MONICA WAY intersection,SW,Right,37.73870823003463,-122.46247422340171,11/10/2020 06:44:16 AM,14986.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73870823003463, -122.46247422340173)",9.0,8.0,4.0,59.0,40.0
54061000-W-Left-I,54061000,6004334.77864,2111874.43043999,BUCHANAN ST: MCALLISTER ST intersection,W,Left,37.7790502595191,-122.42847817730144,11/10/2020 06:44:16 AM,51815.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.7790502595191, -122.42847817730143)",7.0,9.0,11.0,29490.0,41.0
54061000-E-Right-I,54061000,6004391.57436,2111884.41127,BUCHANAN ST: MCALLISTER ST intersection,E,Right,37.7790502595191,-122.42847817730144,11/10/2020 06:44:16 AM,51814.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.7790502595191, -122.42847817730143)",7.0,9.0,11.0,29490.0,41.0
54061000-E-Left-I,54061000,6004393.00019,2111867.53891,BUCHANAN ST: MCALLISTER ST intersection,E,Left,37.7790502595191,-122.42847817730144,11/10/2020 06:44:16 AM,51813.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.7790502595191, -122.42847817730143)",7.0,9.0,11.0,29490.0,41.0
54061000-W-Right-I,54061000,6004337.63030999,2111862.07321,BUCHANAN ST: MCALLISTER ST intersection,W,Right,37.7790502595191,-122.42847817730144,11/10/2020 06:44:16 AM,51816.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.7790502595191, -122.42847817730143)",7.0,9.0,11.0,29490.0,41.0
54062000-SE-Right,54062000,6004347.21084,2112194.13307,BUCHANAN ST: GOLDEN GATE AVE intersection,SE,Right,37.77998390140311,-122.42866508396185,11/10/2020 06:44:16 AM,49102.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y44,0,"(37.77998390140311, -122.42866508396183)",7.0,9.0,11.0,29490.0,41.0
20168000-SE-Left,20168000,6018230.16705,2095329.32606,MEMORY LN: MIDDLE POINT RD intersection,SE,Left,37.73447936987778,-122.37942086505645,11/10/2020 06:44:16 AM,666.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73447936987778, -122.37942086505643)",10.0,3.0,8.0,58.0,1.0
20168000-SW-Right,20168000,6018189.91516,2095326.43532,MEMORY LN: MIDDLE POINT RD intersection,SW,Right,37.73447936987778,-122.37942086505645,11/10/2020 06:44:16 AM,667.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73447936987778, -122.37942086505643)",10.0,3.0,8.0,58.0,1.0
20172000-SE-Right,20172000,6018260.76804,2095980.28441,CATALINA ST: MEMORY LN \ MIDDLE POINT RD intersection,SE,Right,37.73627244169754,-122.3794145146308,11/10/2020 06:44:16 AM,680.0,0,,,,,,,,,,,,,,,,,,,,,Y28,0,"(37.73627244169754, -122.37941451463081)",10.0,3.0,8.0,58.0,1.0
20172000-NE-Left,20172000,6018259.4872,2096020.12652,CATALINA ST: MEMORY LN \ MIDDLE POINT RD intersection,NE,Left,37.73627244169754,-122.3794145146308,11/10/2020 06:44:16 AM,676.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73627244169754, -122.37941451463081)",10.0,3.0,8.0,58.0,1.0
23428000-SW-Left,23428000,5983995.65973,2096097.60668,40TH AVE: YORBA ST intersection,SW,Left,37.7346170275269,-122.4976691779367,11/10/2020 06:44:16 AM,18551.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.7346170275269, -122.4976691779367)",1.0,8.0,3.0,29491.0,35.0
24997000-NE-Left,24997000,6010243.69319,2116878.78788,JOICE ST: SACRAMENTO ST intersection,NE,Left,37.79307442215896,-122.40854505491826,11/10/2020 06:44:16 AM,27245.0,0,,,,,,,,,,,,,,,,,,,,,Y28,0,"(37.79307442215896, -122.40854505491826)",3.0,1.0,10.0,28857.0,4.0
20732000-SE-Left,20732000,6012801.18086,2095718.40402,MADDUX AVE: QUINT ST intersection,SE,Left,37.73530769582475,-122.39820852129144,11/10/2020 06:44:16 AM,3598.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73530769582475, -122.39820852129144)",10.0,3.0,8.0,58.0,1.0
23608000-SW-Right,23608000,6015093.1871,2101548.25457,26TH ST: INDIANA ST intersection,SW,Right,37.751390460661874,-122.39056358283662,11/10/2020 06:44:16 AM,19646.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.751390460661874, -122.39056358283662)",10.0,3.0,8.0,28856.0,1.0
25267000-SE-Left,25267000,6008333.93126,2118418.44196,GLOVER ST: JONES ST intersection,SE,Left,37.797286775159215,-122.415290513357,11/10/2020 06:44:16 AM,28569.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.797286775159215, -122.41529051335701)",5.0,1.0,10.0,308.0,21.0
22864000-E-Right,22864000,5994998.66135,2099868.04599,HERNANDEZ AVE: MERCED AVE intersection,E,Right,37.74545772493768,-122.46021176646435,11/10/2020 06:44:16 AM,15141.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.74545772493768, -122.46021176646435)",1.0,8.0,4.0,59.0,40.0
20733000-S-Left,20733000,6012434.45292,2095256.50862,QUINT ST: TOPEKA AVE intersection,S,Left,37.73395770251831,-122.39937988543176,11/10/2020 06:44:16 AM,3604.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73395770251831, -122.39937988543177)",10.0,3.0,8.0,58.0,1.0
20532000-W-Left,20532000,6013420.98113,2094551.72493,NEWHALL ST: TOPEKA AVE \ VENUS ST intersection,W,Left,37.7319117579481,-122.39572616516736,11/10/2020 06:44:16 AM,2552.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.731911757948104, -122.39572616516736)",10.0,3.0,8.0,58.0,1.0
26831000-NE-Right,26831000,5999745.5905,2113692.48586,LYON ST: POST ST intersection,NE,Right,37.78368644999397,-122.44464305836593,11/10/2020 06:44:16 AM,37833.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.78368644999397, -122.44464305836593)",15.0,6.0,11.0,29490.0,31.0
24909000-SE-Right,24909000,6010215.94456,2115437.76091,POWELL ST: SUTTER ST intersection,SE,Right,37.78922560106705,-122.40859504531775,11/10/2020 06:44:16 AM,51236.0,0,,,,,,1.0,,,,,,,,,,,,,,,Y32,0,"(37.78922560106705, -122.40859504531775)",5.0,1.0,10.0,28852.0,21.0
20376000-SW-Right,20376000,6008252.86614,2086785.24538,ARGONAUT AVE: GARRISON AVE intersection,SW,Right,37.71042608592556,-122.41316181153935,11/10/2020 06:44:16 AM,1650.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.71042608592556, -122.41316181153937)",9.0,7.0,8.0,309.0,39.0
21472000-W-Left,21472000,6000186.88653,2088267.19714,CROSS ST: POPE ST intersection,W,Left,37.71393252541759,-122.44115621379758,11/10/2020 06:44:16 AM,7605.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.71393252541759, -122.44115621379758)",9.0,7.0,6.0,28861.0,5.0
22272000-NW-Left,22272000,6000097.69642,2095248.75929,CONGO ST: MANGELS AVE intersection,NW,Left,37.73309794212063,-122.4420023186247,11/10/2020 06:44:16 AM,12107.0,0,,,,,,,,,,,,,,,,,,,,,Y40,0,"(37.73309794212063, -122.4420023186247)",9.0,7.0,4.0,63.0,40.0
20861000-SE-Right,20861000,6010035.71657,2091676.46099,HOLYOKE ST: WOOLSEY ST intersection,SE,Right,37.723940969517805,-122.40754148485595,11/10/2020 06:44:16 AM,4215.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.723940969517805, -122.40754148485595)",10.0,3.0,7.0,309.0,28.0
20225000-S-Right,20225000,6015869.5635,2097619.32017,GALVEZ AVE: NEWHALL ST intersection,S,Right,37.7406716878802,-122.38770753149868,11/10/2020 06:44:16 AM,944.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.7406716878802, -122.38770753149869)",10.0,3.0,8.0,58.0,1.0
21070000-NW-Left,21070000,6008807.61732,2097662.84174,EUGENIA AVE: PRENTISS ST intersection,NW,Left,37.740226864888186,-122.41206190194636,11/10/2020 06:44:16 AM,5390.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.740226864888186, -122.41206190194637)",10.0,7.0,7.0,28859.0,2.0
10768000-NW-MB,10768000,5999209.75168,2114189.8661,PRESIDIO AVE: BUSH ST \ EUCLID AVE to SUTTER ST (700 - 799),NW,MB,37.78490427493809,-122.44633446585546,11/10/2020 06:44:16 AM,51110.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y44,0,"(37.78490427493809, -122.44633446585546)",15.0,6.0,1.0,54.0,31.0
26243000-SE-Left,26243000,5997366.81868,2102494.09684,DELLBROOK AVE: GREENVIEW CT intersection,SE,Left,37.7529603763309,-122.45210188410006,11/10/2020 06:44:16 AM,34084.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.752960376330904, -122.45210188410006)",1.0,5.0,4.0,63.0,38.0
30048000-NE-Left,30048000,6012546.24633,2115809.60761,SANSOME ST: SUTTER ST intersection,NE,Left,37.79024739106002,-122.40055526338502,11/10/2020 06:44:16 AM,46162.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y44,0,"(37.79024739106002, -122.40055526338502)",4.0,1.0,10.0,28854.0,6.0
20869000-SW-Right,20869000,6009571.21619,2092004.8314,HAMILTON ST: WAYLAND ST intersection,SW,Right,37.7248842513663,-122.40902743122368,11/10/2020 06:44:16 AM,4270.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.7248842513663, -122.40902743122369)",9.0,3.0,7.0,309.0,28.0
20859000-SE-Right,20859000,6010402.51768,2091530.38025,KAREN CT: SOMERSET ST intersection,SE,Right,37.72355693322469,-122.40628697319949,11/10/2020 06:44:16 AM,4207.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.72355693322469, -122.40628697319947)",10.0,3.0,7.0,309.0,28.0
21126000-S-Left,21126000,6009849.74615,2099390.96033,MASSASOIT ST: RUTLEDGE ST intersection,S,Left,37.745128553025,-122.4086133067921,11/10/2020 06:44:16 AM,5690.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.745128553025, -122.4086133067921)",2.0,7.0,7.0,28859.0,2.0
20587000-S-Left,20587000,6010979.48175,2089812.12909,ANKENY ST: BISHOP ST intersection,S,Left,37.71892830718663,-122.40405090559211,11/10/2020 06:44:16 AM,2858.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.71892830718663, -122.40405090559211)",10.0,7.0,8.0,309.0,28.0
21068000-NW-Right,21068000,6008786.71054,2097442.77984,CORTLAND AVE: PRENTISS ST intersection,NW,Right,37.73970999600713,-122.41199163830656,11/10/2020 06:44:16 AM,5379.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73970999600713, -122.41199163830656)",10.0,7.0,7.0,28859.0,2.0
20159000-E-Left,20159000,6015655.75455,2094010.26341,KEITH ST: REVERE AVE intersection,E,Left,37.73060608961196,-122.3882922579634,11/10/2020 06:44:16 AM,619.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73060608961196, -122.3882922579634)",10.0,3.0,8.0,58.0,1.0
21967000-NE-Left,21967000,6002010.2277,2095818.13775,CHENERY ST: LIPPARD AVE intersection,NE,Left,37.73479697259188,-122.43555052486444,11/10/2020 06:44:16 AM,10465.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73479697259188, -122.43555052486445)",2.0,7.0,5.0,63.0,7.0
22883000-E-Right,22883000,5994765.36916,2099298.34601,GARCIA AVE: VASQUEZ AVE intersection,E,Right,37.74383564219451,-122.46103141477812,11/10/2020 06:44:16 AM,15237.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.74383564219451, -122.46103141477813)",1.0,8.0,4.0,59.0,40.0
22005000-SE-Left,22005000,6002707.07572,2099160.81315,CASTRO ST: VALLEY ST intersection,SE,Left,37.74411572677734,-122.43339459722031,11/10/2020 06:44:16 AM,10663.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.74411572677734, -122.43339459722031)",2.0,7.0,5.0,63.0,22.0
20138000-W-Right,20138000,6016693.64978,2094600.86131,COMMER CT: GARLINGTON CT intersection,W,Right,37.73235213921655,-122.38449506703851,11/10/2020 06:44:16 AM,485.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73235213921655, -122.38449506703851)",10.0,3.0,8.0,58.0,1.0
22014000-SW-Left,22014000,6003245.50804,2100070.18896,27TH ST: NOE ST intersection,SW,Left,37.7466298097994,-122.43141231001792,11/10/2020 06:44:16 AM,10704.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.7466298097994, -122.43141231001793)",2.0,7.0,5.0,63.0,22.0
27896000-E-Left,27896000,5983820.0526,2112434.3625,39TH AVE: GEARY BLVD intersection,E,Left,37.77940341122773,-122.49973047238656,11/10/2020 06:44:16 AM,51836.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y44,0,"(37.77940341122773, -122.49973047238656)",11.0,6.0,2.0,55.0,26.0
20554000-SE-Right,20554000,6012127.303927,2088949.733835,GIRARD ST: WILDE AVE intersection,SE,Right,37.71657388275723,-122.40011893314868,11/10/2020 06:44:16 AM,51599.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y28,0,"(37.71657388275723, -122.40011893314869)",10.0,7.0,8.0,309.0,39.0
20596000-E-Right,20596000,6010725.70666,2090454.2889,MANSELL ST: SOMERSET ST intersection,E,Right,37.720508666453846,-122.4050093698088,11/10/2020 06:44:16 AM,2917.0,0,,,,,,,,,,,,,,,,,,,,,Y28,0,"(37.720508666453846, -122.4050093698088)",10.0,7.0,8.0,309.0,28.0
27557000-SE-Right,27557000,5987529.8879,2112519.7241,27TH AVE: GEARY BLVD intersection,SE,Right,37.77999352650122,-122.48687804705771,11/10/2020 06:44:16 AM,42670.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.77999352650122, -122.48687804705771)",11.0,6.0,2.0,55.0,26.0
33702000-W-Left,33702000,5996907.07026,2086247.54829,ACTON ST: BRUMISS TER intersection,W,Left,37.70821479075011,-122.45234680661004,11/10/2020 06:44:16 AM,48613.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.70821479075011, -122.45234680661004)",,,6.0,28588.0,
26184000-NW-Left,26184000,5999432.31718,2104060.84731,GRAYSTONE TER: IRON ALY intersection,NW,Left,37.75727286311847,-122.44496432761188,11/10/2020 06:44:16 AM,33800.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.757272863118466, -122.44496432761188)",2.0,5.0,5.0,28862.0,3.0
20597000-SW-Left,20597000,6010503.01616,2090118.25348,ANKENY ST: MILL ST intersection,SW,Left,37.71965999295573,-122.4055643606683,11/10/2020 06:44:16 AM,2929.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y30,0,"(37.719659992955734, -122.4055643606683)",10.0,7.0,8.0,309.0,39.0
20205000-N-Left,20205000,6015927.15755,2095564.05919,LANE ST: MCKINNON AVE intersection,N,Left,37.73482336831668,-122.38738174243883,11/10/2020 06:44:16 AM,809.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.73482336831668, -122.38738174243883)",10.0,3.0,8.0,58.0,1.0
33732000-SE-Right,33732000,5996857.81412,2104646.08368,BEHR AVE: JOHNSTONE DR intersection,SE,Right,37.75880459598781,-122.4540825326096,11/10/2020 06:44:16 AM,48722.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.75880459598781, -122.4540825326096)",15.0,5.0,4.0,29492.0,12.0
20271000-NW-Left,20271000,6012848.75557,2087017.99328,BLANKEN AVE: NUEVA AVE intersection,NW,Left,37.71119938143552,-122.39734371907052,11/10/2020 06:44:16 AM,1157.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.71119938143552, -122.39734371907053)",10.0,3.0,8.0,309.0,1.0
24554000-N-Left,24554000,6013902.59139,2116131.33826,BEALE ST: MISSION ST intersection,N,Left,37.79115279461852,-122.39581342121724,11/10/2020 06:44:16 AM,25167.0,0,,,,,,1.0,,,,,,,,,,,,,,,Y32,0,"(37.79115279461852, -122.39581342121724)",12.0,2.0,9.0,28855.0,6.0
26415000-SE-Left,26415000,5998462.90967,2108942.18105,CLAYTON ST: PAGE ST intersection,SE,Left,37.77073086998477,-122.44876791383692,11/10/2020 06:44:16 AM,35104.0,0,,,,,,0.0,,,,,,,,,,,,,,,Y44,0,"(37.77073086998477, -122.44876791383692)",15.0,5.0,11.0,29492.0,9.0
27926000-NE-Left,27926000,5981142.35704,2102162.22874,GREAT HWY: ORTEGA ST intersection,NE,Left,37.75096818591498,-122.50818665152995,11/10/2020 06:44:16 AM,45175.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.75096818591498, -122.50818665152995)",1.0,8.0,3.0,29491.0,35.0
23424000-SE-Left,23424000,5984360.08289,2096100.9341,39TH AVE: YORBA ST intersection,SE,Left,37.734664795649785,-122.49659625847012,11/10/2020 06:44:16 AM,18534.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.734664795649785, -122.49659625847013)",1.0,8.0,3.0,29491.0,35.0
22023000-SE-Left,22023000,6002032.53967,2099697.41903,DIAMOND ST: DUNCAN ST intersection,SE,Left,37.745549935510354,-122.435766816249,11/10/2020 06:44:16 AM,10754.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.745549935510354, -122.435766816249)",2.0,7.0,5.0,63.0,22.0
20387000-SW-Right,20387000,6009000.59397,2088699.91872,ELLIOT ST: TEDDY AVE intersection,SW,Right,37.71573851888432,-122.4107375700716,11/10/2020 06:44:16 AM,1718.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.715738518884315, -122.41073757007159)",9.0,7.0,8.0,309.0,39.0
20483000-N-Right,20483000,6014945.05879,2093138.99022,KEITH ST: VAN DYKE AVE intersection,N,Right,37.72809906749067,-122.39054746208691,11/10/2020 06:44:16 AM,2255.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.72809906749067, -122.39054746208693)",10.0,3.0,8.0,58.0,1.0
26498000-NE-Left,26498000,6005873.68651,2115234.64911,BUSH ST: FRANKLIN ST intersection,NE,Left,37.78827971883434,-122.42359407205478,11/10/2020 06:44:16 AM,35574.0,0,,,,,,1.0,,,,,,,,,,,,,,,Y32,0,"(37.78827971883434, -122.42359407205478)",13.0,9.0,1.0,28858.0,41.0
24913000-NW-Right,24913000,6009815.426,2114385.98119,MASON ST: OFARRELL ST intersection,NW,Right,37.78620265086479,-122.40968307250436,11/10/2020 06:44:16 AM,26816.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.78620265086479, -122.40968307250436)",5.0,10.0,9.0,28852.0,36.0
26570000-NE-Right,26570000,6004585.87478,2117416.67132,OCTAVIA ST: PACIFIC AVE intersection,NE,Right,37.79418738729957,-122.42815904967878,11/10/2020 06:44:16 AM,36069.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.79418738729957, -122.42815904967878)",13.0,9.0,1.0,28858.0,27.0
23440000-NW-Right,23440000,5983904.98898,2098861.11395,40TH AVE: TARAVAL ST intersection,NW,Right,37.7420556616645,-122.49818952704292,11/10/2020 06:44:16 AM,18632.0,0,,,,,,,,,,,,,,,,,,,,,Y40,0,"(37.7420556616645, -122.49818952704292)",1.0,8.0,3.0,29491.0,35.0
20697000-S-Right,20697000,6015157.21913,2098848.7393,EVANS AVE: QUINT ST intersection,S,Right,37.744045915332656,-122.3903279413177,11/10/2020 06:44:16 AM,3501.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.744045915332656, -122.3903279413177)",10.0,3.0,8.0,58.0,1.0
25030000-SE-Right,25030000,6010819.7698,2117910.55813,GRANT AVE: JACKSON ST intersection,SE,Right,37.79602473637794,-122.40665235213466,11/10/2020 06:44:16 AM,27389.0,0,,,,,,1.0,,,,,,,,,,,,,,,Y30,0,"(37.796024736377944, -122.40665235213466)",3.0,1.0,10.0,28857.0,4.0
27138000-NW-Right,27138000,5992143.89245,2103901.03891,FUNSTON AVE: MORAGA ST intersection,NW,Right,37.75639041770637,-122.47007369407189,11/10/2020 06:44:16 AM,39710.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.75639041770637, -122.47007369407189)",1.0,8.0,4.0,56.0,12.0
23415000-NE-Left,23415000,5985728.32031,2101640.37709,34TH AVE: PACHECO ST intersection,NE,Left,37.74980049924208,-122.49228492906278,11/10/2020 06:44:16 AM,18468.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.74980049924208, -122.49228492906278)",1.0,8.0,3.0,29491.0,35.0
20803000-E-Right,20803000,6011904.8526,2097864.67598,OAKDALE AVE: TOLAND ST intersection,E,Right,37.7409619144581,-122.40155570060016,11/10/2020 06:44:16 AM,3944.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.7409619144581, -122.40155570060017)",10.0,3.0,8.0,58.0,1.0
20271000-NE-Right,20271000,6012886.20464,2087006.80498,BLANKEN AVE: NUEVA AVE intersection,NE,Right,37.71119938143552,-122.39734371907052,11/10/2020 06:44:16 AM,1156.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.71119938143552, -122.39734371907053)",10.0,3.0,8.0,309.0,1.0
20903000-SW-Left,20903000,6009304.82893,2093858.46877,HOLYOKE ST: SILLIMAN ST intersection,SW,Left,37.72994452435598,-122.41003182934334,11/10/2020 06:44:16 AM,4501.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.72994452435598, -122.41003182934334)",9.0,3.0,7.0,309.0,28.0
25954000-NE-Right,25954000,6004046.33715,2111165.29505,GROVE ST: WEBSTER ST intersection,NE,Right,37.77697600884506,-122.42968688324709,11/10/2020 06:44:16 AM,32486.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.77697600884506, -122.42968688324707)",7.0,9.0,11.0,29492.0,10.0
24010000-NW-Left,24010000,6010074.00357,2105528.17345,18TH ST: HAMPSHIRE ST intersection,NW,Left,37.76187571834619,-122.40818656354216,11/10/2020 06:44:16 AM,22080.0,0,,,,,,,,,,,,,,,,,,,,,Y40,0,"(37.76187571834619, -122.40818656354217)",8.0,4.0,8.0,28859.0,19.0
20460000-NW-Right,20460000,6013039.70663,2090286.31449,03RD ST: HWY 101 S ON RAMP \ JAMESTOWN AVE intersection,NW,Right,37.72023089856488,-122.39661702611916,11/10/2020 06:44:16 AM,2118.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.72023089856488, -122.39661702611915)",10.0,3.0,8.0,58.0,1.0
