locID,CNN,xLoc,yLoc,LocationDescription,curbReturnLoc,positionOnReturn,Latitude,Longitude,LastUpdate,InvenID,conditionScore,detectableSurf,vitalFacilities,heavyTraffic,lipTooHigh,probStreetMeetCR,possBasementObstacle,signalPoleInWing,catchBasinFrontOfCR,insideCrosswalk,surfCond,slopeWing,flushToCorner,colorContrast,paintedRed,topClearance,sideClearance,CRTooNarrow,levelLandTop,levelLandBottom,slopeRangeID,crPossible,crExist,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
20572000-W-Left-BT,20572000,6011534.46817,2090702.54201,GIRARD ST: MANSELL ST intersection,W,Left,37.72127743804394,-122.40205647171616,11/10/2020 06:44:16 AM,2754.0,40,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.72127743804394, -122.40205647171616)",10.0,3.0,7.0,309.0,28.0
27216000-NE-Right,27216000,5996482.03404,2112419.24989,ANZA ST: STANYAN BLVD intersection,NE,Right,37.77994147364948,-122.45584312973756,11/10/2020 06:44:16 AM,40196.0,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,,1,"(37.77994147364948, -122.45584312973756)",11.0,6.0,2.0,54.0,16.0
22414000-SW-Left,22414000,5997918.52887,2100258.10525,MIDCREST WAY: PANORAMA DR intersection,SW,Left,37.74684482296152,-122.44982942105172,11/10/2020 06:44:16 AM,12729.0,42,,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,,,1.0,0.0,0.0,4.0,,1,"(37.74684482296152, -122.44982942105173)",1.0,5.0,4.0,63.0,38.0
23184000-NE-Left,23184000,5991082.3178,2099779.42412,17TH AVE: SANTIAGO ST intersection,NE,Left,37.7450115426368,-122.47368438280716,11/10/2020 06:44:16 AM,16933.0,49,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,,1,"(37.7450115426368, -122.47368438280716)",1.0,8.0,4.0,29491.0,40.0
27558000-SW-Left,27558000,5987161.62781,2112506.90326,28TH AVE: GEARY BLVD intersection,SW,Left,37.77994711904618,-122.48794590626188,11/10/2020 06:44:16 AM,42678.0,20,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.779947119046184, -122.48794590626188)",11.0,6.0,2.0,55.0,26.0
24672000-NW-Left,24672000,6012780.8994,2116199.57271,BATTERY ST: BUSH ST intersection,NW,Left,37.7913265198854,-122.39957202941558,11/10/2020 06:44:16 AM,25671.0,32,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,4.0,,1,"(37.7913265198854, -122.39957202941558)",4.0,1.0,10.0,28854.0,6.0
25572000-SE-Left,25572000,6007509.14945,2120894.64534,FRANCISCO ST: LEAVENWORTH ST intersection,SE,Left,37.80407000889553,-122.41834134257104,11/10/2020 06:44:16 AM,30046.0,37,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,4.0,,1,"(37.80407000889553, -122.41834134257103)",5.0,1.0,1.0,308.0,32.0
24582000-N-Right,24582000,6012666.44228,2112625.62972,RIZAL ST: TANDANG SORA intersection,N,Right,37.78149798555239,-122.39980220269038,11/10/2020 06:44:16 AM,25289.0,49,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,,1,"(37.78149798555239, -122.39980220269038)",6.0,2.0,9.0,28856.0,34.0
26823000-NW-Right,26823000,6000416.06357,2115517.57932,BRODERICK ST: SACRAMENTO ST intersection,NW,Right,37.788780735137294,-122.44229733165268,11/10/2020 06:44:16 AM,37775.0,22,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.788780735137294, -122.44229733165268)",13.0,6.0,1.0,29490.0,27.0
27217000-NE-Right,27217000,5996592.26807,2112961.53292,COMMONWEALTH AVE: GEARY BLVD intersection,NE,Right,37.78143112654954,-122.4555239849424,11/10/2020 06:44:16 AM,40208.0,49,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,,1.0,0.0,0.0,4.0,,1,"(37.78143112654954, -122.45552398494239)",11.0,6.0,1.0,54.0,31.0
21116000-N-Right,21116000,6010217.94488,2099815.6163,MACEDONIA ST: MONTCALM ST intersection,N,Right,37.74626231947676,-122.4073085947298,11/10/2020 06:44:16 AM,5621.0,44,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,,1,"(37.746262319476756, -122.40730859472981)",2.0,7.0,7.0,28859.0,2.0
24612000-W-Left,24612000,6012257.36994,2114569.77643,ANNIE ST: MISSION ST intersection,W,Left,37.78685170182356,-122.40126150181828,11/10/2020 06:44:16 AM,25444.0,48,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,1.0,4.0,,1,"(37.78685170182356, -122.40126150181827)",12.0,2.0,9.0,28855.0,6.0
24741000-SE-Right,24741000,6011095.08946,2115907.75538,BUSH ST: GRANT AVE intersection,SE,Right,37.79056522406033,-122.4055737455736,11/10/2020 06:44:16 AM,26067.0,28,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,4.0,,1,"(37.79056522406033, -122.4055737455736)",5.0,1.0,10.0,28857.0,6.0
33209000-S-Left,33209000,6012457.39382,2088424.61481,BAY SHORE BLVD: BAYVIEW PARK RD \ HESTER AVE \ HWY 101 S OFF RAMP intersection,S,Left,37.715338776153295,-122.39899104943258,11/10/2020 06:44:16 AM,47348.0,45,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.715338776153295, -122.39899104943258)",10.0,7.0,8.0,309.0,39.0
33027000-E-Left,33027000,6006805.05263,2108543.67401,13TH ST: DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST intersection,E,Left,37.77011143526904,-122.42000832057704,11/10/2020 06:44:16 AM,49586.0,41,1.0,,,,,,,,,,,,,,,,,,,5.0,,1,"(37.77011143526904, -122.42000832057705)",8.0,4.0,9.0,28853.0,19.0
26360000-SW-Right,26360000,6000858.83696,2112396.246,BRODERICK ST: EDDY ST intersection,SW,Right,37.78037270833419,-122.4405893181078,11/10/2020 06:44:16 AM,34720.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,1,"(37.78037270833419, -122.44058931810781)",15.0,5.0,1.0,29490.0,41.0
20572000-SW-Right,20572000,6011575.30273,2090621.11927,GIRARD ST: MANSELL ST intersection,SW,Right,37.72127743804394,-122.40205647171616,11/10/2020 06:44:16 AM,2753.0,33,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,3.0,,1,"(37.72127743804394, -122.40205647171616)",10.0,3.0,7.0,309.0,28.0
20447000-N-Right,20447000,6014833.39989,2090776.86371,EGBERT AVE: INGALLS ST intersection,N,Right,37.72159983892947,-122.39074534153538,11/10/2020 06:44:16 AM,2015.0,20,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.72159983892947, -122.39074534153538)",10.0,3.0,8.0,58.0,1.0
23513000-SE-Right,23513000,5981373.93696,2099398.42488,GREAT HWY: SANTIAGO ST intersection,SE,Right,37.74353514188143,-122.50719324564372,11/10/2020 06:44:16 AM,19164.0,50,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,,1,"(37.74353514188143, -122.50719324564373)",1.0,8.0,3.0,29491.0,35.0
25661000-S-Center,25661000,6004665.67023,2103632.28715,21ST ST: CHATTANOOGA ST intersection,S,Center,37.75656059541461,-122.42678718517868,11/10/2020 06:44:16 AM,30624.0,40,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.75656059541461, -122.42678718517867)",2.0,4.0,5.0,28862.0,22.0
22470000-SW-Left,22470000,5995005.0862,2087737.80483,CAPITOL AVE: SADOWA ST intersection,SW,Left,37.71229572260268,-122.4590151195802,11/10/2020 06:44:16 AM,13009.0,49,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,4.0,,1,"(37.71229572260268, -122.45901511958019)",9.0,8.0,6.0,28861.0,24.0
27346000-SE-Left,27346000,5989662.59951,2104434.97845,21ST AVE: LAWTON ST intersection,SE,Left,37.75787258761616,-122.478874517451,11/10/2020 06:44:16 AM,41137.0,50,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,,,1.0,0.0,1.0,4.0,,1,"(37.75787258761616, -122.47887451745099)",1.0,8.0,3.0,56.0,35.0
24756000-NW-Center,24756000,6011776.62221,2117426.07157,CLAY ST: MONTGOMERY ST intersection,NW,Center,37.79466626795416,-122.40313929499318,11/10/2020 06:44:16 AM,26150.0,40,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.79466626795416, -122.40313929499318)",3.0,1.0,10.0,28860.0,4.0
27004000-SW-Left,27004000,6000246.34212,2120233.74705,BAY ST: DIVISADERO ST intersection,SW,Left,37.80183836703284,-122.44322349711976,11/10/2020 06:44:16 AM,38999.0,40,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.801838367032836, -122.44322349711975)",13.0,9.0,1.0,57.0,17.0
21633000-N-Right,21633000,6004161.27229,2090863.83237,BRAZIL AVE: MOSCOW ST intersection,N,Right,37.72125760619091,-122.42764464717956,11/10/2020 06:44:16 AM,8431.0,37,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,4.0,,1,"(37.72125760619091, -122.42764464717956)",9.0,7.0,6.0,28861.0,5.0
24577000-NE-Center,24577000,6013231.66688,2118292.32016,DAVIS CT: DAVIS ST \ JACKSON ST intersection,NE,Center,37.79709203979487,-122.3983331485549,11/10/2020 06:44:16 AM,25260.0,37,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.79709203979487, -122.3983331485549)",3.0,1.0,10.0,28860.0,6.0
24917000-SW-Right,24917000,6009783.70691,2114679.05311,GEARY ST: MASON ST intersection,SW,Right,37.78714912937991,-122.409874016551,11/10/2020 06:44:16 AM,26837.0,22,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.787149129379905, -122.409874016551)",5.0,1.0,10.0,28852.0,36.0
25163000-NE-Left,25163000,6007830.09763,2115153.41765,HYDE ST: SUTTER ST intersection,NE,Left,37.788177877048,-122.4168271538704,11/10/2020 06:44:16 AM,27972.0,44,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,,1.0,0.0,0.0,4.0,,1,"(37.788177877048, -122.41682715387039)",13.0,1.0,10.0,28858.0,21.0
25412000-SE-Right,25412000,6009701.31961,2119124.11017,GREEN ST: POWELL ST intersection,SE,Right,37.79930283985325,-122.41064427363368,11/10/2020 06:44:16 AM,29274.0,33,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,,1,"(37.79930283985325, -122.41064427363368)",3.0,1.0,10.0,308.0,4.0
24696000-NW-Right,24696000,6012495.53252,2118175.85222,BATTERY ST: JACKSON ST intersection,NW,Right,37.79677682942642,-122.40068133716684,11/10/2020 06:44:16 AM,25811.0,10,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.79677682942642, -122.40068133716684)",3.0,1.0,10.0,28860.0,4.0
21849000-SE-Left,21849000,6004879.65897,2098395.20444,30TH ST: CHENERY ST intersection,SE,Left,37.74214057724997,-122.42581359000944,11/10/2020 06:44:16 AM,9745.0,45,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.74214057724997, -122.42581359000943)",2.0,7.0,5.0,63.0,7.0
26936000-SW-Left,26936000,5997568.7064,2114474.64735,IRIS AVE: MAYFAIR DR intersection,SW,Left,37.78587169183992,-122.45206995536444,11/10/2020 06:44:16 AM,38544.0,47,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.785871691839915, -122.45206995536444)",15.0,6.0,1.0,54.0,31.0
21359000-S-Right,21359000,6005346.86342,2086375.23702,CARTER ST: GENEVA AVE \ WALBRIDGE ST intersection,S,Right,37.70925093647957,-122.42335343552683,11/10/2020 06:44:16 AM,6971.0,42,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,,,1.0,0.0,0.0,4.0,,1,"(37.70925093647957, -122.42335343552685)",9.0,7.0,8.0,309.0,5.0
27945000-NE-Left,27945000,5980967.46631,2104879.11077,GREAT HWY: KIRKHAM ST \ LA PLAYA intersection,NE,Left,37.75841443954433,-122.50911128997662,11/10/2020 06:44:16 AM,45314.0,50,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,4.0,,1,"(37.75841443954433, -122.50911128997662)",1.0,8.0,3.0,56.0,35.0
23391000-NW-Right,23391000,5986650.35291,2100310.21374,31ST AVE: RIVERA ST intersection,NW,Right,37.746212312714384,-122.48880645066144,11/10/2020 06:44:16 AM,18266.0,48,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,,0.0,1.0,0.0,3.0,,1,"(37.746212312714384, -122.48880645066144)",1.0,8.0,3.0,29491.0,35.0
26591000-NW-Left,26591000,6003527.42218,2114221.41918,POST ST: WEBSTER ST intersection,NW,Left,37.785372633731136,-122.43136639654264,11/10/2020 06:44:16 AM,49728.0,28,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,1.0,4.0,,1,"(37.785372633731136, -122.43136639654263)",13.0,9.0,11.0,29490.0,13.0
24764000-NE-Left,24764000,6011718.93499,2118149.45595,GOLD ST: MONTGOMERY ST intersection,NE,Left,37.79667130926326,-122.40354916676036,11/10/2020 06:44:16 AM,26208.0,32,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.79667130926326, -122.40354916676036)",3.0,1.0,10.0,308.0,4.0
30079000-NW-Right,30079000,6006339.56296,2114757.72884,DANIEL BURNHAM CT: VAN NESS AVE intersection,NW,Right,37.78706156486764,-122.42176481242792,11/10/2020 06:44:16 AM,46274.0,42,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,4.0,,1,"(37.78706156486764, -122.42176481242792)",13.0,9.0,1.0,28858.0,21.0
26359000-SW-Right,26359000,6000465.52443,2111648.59132,BAKER ST: GOLDEN GATE AVE intersection,SW,Right,37.77829953983474,-122.44186564058808,11/10/2020 06:44:16 AM,52058.0,20,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.77829953983474, -122.44186564058808)",15.0,5.0,11.0,29490.0,41.0
24976000-SE-Center,24976000,6010168.48304,2115774.77927,BUSH ST: POWELL ST intersection,SE,Center,37.79015948760994,-122.4087861063918,11/10/2020 06:44:16 AM,27151.0,25,0.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,,,4.0,,1,"(37.79015948760994, -122.40878610639179)",5.0,1.0,10.0,28857.0,21.0
26916000-NE-Right,26916000,5998619.59899,2115274.2304,SACRAMENTO ST: WALNUT ST intersection,NE,Right,37.78797715085408,-122.448656220771,11/10/2020 06:44:16 AM,38398.0,40,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,,1,"(37.787977150854076, -122.448656220771)",13.0,6.0,1.0,54.0,31.0
25954000-NW-Right,25954000,6003947.80191,2111142.85447,GROVE ST: WEBSTER ST intersection,NW,Right,37.77697600884506,-122.42968688324709,11/10/2020 06:44:16 AM,32482.0,40,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.77697600884506, -122.42968688324707)",7.0,9.0,11.0,29492.0,10.0
24926000-NW-Left,24926000,6009389.76478,2113995.34549,ELLIS ST: TAYLOR ST intersection,NW,Left,37.78507458274446,-122.41113980142345,11/10/2020 06:44:16 AM,26908.0,35,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.78507458274446, -122.41113980142343)",14.0,10.0,9.0,28852.0,36.0
23710000-SE-Left,23710000,6011980.73467,2102776.38499,23RD ST: RHODE ISLAND ST intersection,SE,Left,37.754570541708574,-122.40158938872456,11/10/2020 06:44:16 AM,20243.0,20,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.754570541708574, -122.40158938872456)",10.0,3.0,8.0,28856.0,29.0
24388000-E-Right,24388000,6007233.86358,2109607.54488,12TH ST: MISSION ST \ OTIS ST \ SOUTH VAN NESS AVE intersection,E,Right,37.77305344067745,-122.41861821595973,11/10/2020 06:44:16 AM,24335.0,10,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,,1,"(37.77305344067745, -122.41861821595971)",8.0,2.0,9.0,28853.0,19.0
25714000-SW-Left-BT,25714000,6003655.8458,2103886.49071,LIBERTY ST: SANCHEZ ST intersection,SW,Left,37.75715466805244,-122.43026020825184,11/10/2020 06:44:16 AM,30952.0,40,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.75715466805244, -122.43026020825185)",2.0,4.0,5.0,28862.0,3.0
27286000-SW-Right,27286000,5993990.1965,2113473.68774,06TH AVE: CLEMENT ST intersection,SW,Right,37.78293991997258,-122.46442502515131,11/10/2020 06:44:16 AM,40711.0,41,1.0,,,,,,,,,,,,,,,,,,,2.0,,1,"(37.782939919972584, -122.46442502515133)",11.0,6.0,2.0,54.0,11.0
34155000-SE-Left,34155000,6015542.91586,2109965.24922,03RD ST: CHANNEL ST intersection,SE,Left,37.7745498542932,-122.38986505197094,11/10/2020 06:44:16 AM,48854.0,48,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,1.0,1.0,0.0,4.0,,1,"(37.7745498542932, -122.38986505197094)",14.0,3.0,9.0,310.0,20.0
20203000-W-Left,20203000,6016669.73119,2097718.48893,EVANS AVE: MENDELL ST intersection,W,Left,37.74089750319354,-122.38470554019835,11/10/2020 06:44:16 AM,793.0,17,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,,1,"(37.74089750319354, -122.38470554019835)",10.0,3.0,8.0,58.0,1.0
24592000-E-Right,24592000,6013254.23802,2113151.52205,03RD ST: SAINT FRANCIS PL intersection,E,Right,37.7829978837611,-122.39794293925236,11/10/2020 06:44:16 AM,25340.0,40,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,1.0,,1,"(37.7829978837611, -122.39794293925237)",6.0,2.0,9.0,28856.0,34.0
23032000-E-Right,23032000,5990481.45417,2091060.9993,19TH AVE: HOLLOWAY AVE intersection,E,Right,37.72105728193878,-122.47522195258044,11/10/2020 06:44:16 AM,16014.0,15,0.0,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,4.0,,1,"(37.72105728193878, -122.47522195258045)",9.0,8.0,4.0,64.0,14.0
26760000-NE-Right,26760000,6003158.08564,2120693.56634,BAY ST: BUCHANAN ST intersection,NE,Right,37.80305687157062,-122.43332795615042,11/10/2020 06:44:16 AM,37387.0,47,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,1.0,0.0,,1.0,,,,1.0,0.0,0.0,4.0,,1,"(37.80305687157062, -122.43332795615042)",13.0,9.0,1.0,57.0,17.0
23512000-NE-Right,23512000,5981425.97327,2100138.00477,48TH AVE: RIVERA ST intersection,NE,Right,37.74540952909849,-122.5070305417927,11/10/2020 06:44:16 AM,19157.0,50,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.74540952909849, -122.5070305417927)",1.0,8.0,3.0,29491.0,35.0
24008000-NE-Right,24008000,6009643.80627,2104566.02216,20TH ST: BRYANT ST intersection,NE,Right,37.75919399673554,-122.40977012138904,11/10/2020 06:44:16 AM,22060.0,45,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.75919399673554, -122.40977012138904)",2.0,4.0,7.0,28859.0,19.0
